,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,NAME,SALARY
147,2020-21,30.0,TOT,NBA,C,36,11,18.1,3.2,7.7,.410,1.3,3.6,.351,1.9,4.1,.463,.493,1.6,2.2,.718,1.4,5.5,6.9,2.0,0.7,0.6,1.7,2.6,9.2,DeMarcus Cousins,2666959
148,2020-21,27.0,LAL,NBA,PF,30.0,30.0,32.1,8.4,16.7,0.503,0.7,2.8,0.265,7.7,13.9,0.55,0.525,3.9,5.4,0.72,1.8,6.2,8.0,3.0,1.3,1.8,2.1,1.8,21.4,Anthony Davis,32742000
149,2020-21,29.0,ATL,NBA,PF,66.0,14.0,21.7,1.6,4.4,0.365,1.0,3.1,0.325,0.6,1.3,0.45899999999999996,0.479,0.5,0.6,0.762,0.6,2.5,3.1,1.0,0.7,0.2,0.6,1.7,4.7,Solomon Hill,2174318
150,2020-21,30.0,MIL,NBA,PG,54.0,51.0,32.2,7.0,13.8,0.505,1.9,4.8,0.397,5.1,9.1,0.562,0.574,1.8,2.3,0.772,1.2,3.4,4.6,5.9,1.7,0.6,2.2,1.7,17.6,Jrue Holiday,26131111
151,2020-21,30.0,OKC,NBA,SF,18.0,0.0,10.9,1.2,2.7,0.45799999999999996,0.9,2.3,0.405,0.3,0.3,0.833,0.635,0.7,0.7,1.0,0.1,1.2,1.3,1.2,0.7,0.3,0.4,0.7,4.1,Darius Miller,7000000
152,2020-21,34.0,TOT,NBA,PG,40.0,2.0,16.7,2.0,4.7,0.426,0.7,2.0,0.359,1.3,2.8,0.473,0.5,0.3,0.3,0.909,0.4,2.0,2.3,4.1,0.9,0.1,1.7,1.3,5.0,Rajon Rondo,7500000
153,2020-21,26.0,MIL,NBA,PF,56,56,33.1,10.3,18.3,0.562,1.2,3.7,0.311,9.1,14.6,0.626,0.594,6.7,9.7,0.688,1.6,9.4,11.1,5.9,1.2,1.3,3.6,2.8,28.4,Giannis Antetokounmpo,27528090
154,2020-21,31.0,NOP,NBA,SG,65.0,64.0,29.9,4.2,10.0,0.419,1.8,5.0,0.348,2.4,5.0,0.491,0.506,1.8,2.5,0.7090000000000001,0.4,3.0,3.4,3.7,0.8,0.3,1.6,1.6,12.0,Eric Bledsoe,16875000
155,2020-21,28.0,IND,NBA,PG,56.0,56.0,34.5,7.9,17.5,0.45299999999999996,2.6,6.7,0.38799999999999996,5.3,10.8,0.493,0.527,2.7,3.2,0.8640000000000001,1.0,4.2,5.3,5.9,0.9,0.3,2.1,2.0,21.2,Malcolm Brogdon,20700000
156,2020-21,25.0,HOU,NBA,SG,51.0,14.0,24.1,2.9,6.6,0.44799999999999995,1.8,4.2,0.423,1.2,2.4,0.49200000000000005,0.584,0.5,0.6,0.8059999999999999,0.7,3.6,4.4,1.4,0.7,0.2,0.8,1.9,8.2,Sterling Brown,1678854
157,2020-21,30.0,CLE,NBA,PG,13.0,1.0,17.2,1.1,4.3,0.25,0.3,1.9,0.16,0.8,2.4,0.32299999999999995,0.28600000000000003,0.3,0.3,1.0,0.5,1.4,1.8,4.5,0.3,0.1,0.5,1.6,2.8,Matthew Dellavedova,2174318
158,2020-21,23.0,CLE,NBA,C,8.0,0.0,9.5,1.3,2.3,0.556,0.0,0.3,0.0,1.3,2.0,0.625,0.556,1.3,1.4,0.909,1.0,1.3,2.3,0.5,0.3,0.5,0.4,0.9,3.8,Thon Maker,309355
159,2020-21,29.0,MIL,NBA,SF,63.0,63.0,33.5,7.5,15.9,0.475,2.3,5.3,0.425,5.3,10.6,0.5,0.546,3.1,3.4,0.894,0.8,5.2,6.0,5.5,1.1,0.1,2.7,2.4,20.4,Khris Middleton,33051724
160,2020-21,25.0,TOT,NBA,PF,10.0,0.0,11.1,1.9,3.5,0.5429999999999999,0.0,0.5,0.0,1.9,3.0,0.633,0.5429999999999999,0.3,0.4,0.75,0.8,2.2,3.0,0.7,0.1,0.4,0.8,0.9,4.1,Jabari Parker,6916834
161,2020-21,25.0,TOT,NBA,PF,10.0,0.0,11.1,1.9,3.5,0.5429999999999999,0.0,0.5,0.0,1.9,3.0,0.633,0.5429999999999999,0.3,0.4,0.75,0.8,2.2,3.0,0.7,0.1,0.4,0.8,0.9,4.1,Jabari Parker,6916834
162,2020-21,29.0,ATL,NBA,SG,44.0,22.0,21.1,1.9,3.6,0.516,1.4,2.4,0.575,0.5,1.2,0.396,0.708,0.3,0.3,1.0,0.4,2.0,2.3,1.3,0.3,0.3,0.4,1.6,5.4,Tony Snell,12178571
163,2020-21,24.0,TOT,NBA,PF,35.0,1.0,12.4,1.9,4.8,0.405,0.9,2.5,0.345,1.1,2.3,0.469,0.494,0.5,0.7,0.68,0.6,2.6,3.2,0.7,0.3,0.5,0.6,1.3,5.2,D.J. Wilson,4548280
164,2020-21,32.0,TOT,NBA,PF,35.0,1.0,15.3,2.2,5.0,0.446,0.6,2.1,0.27,1.7,2.9,0.574,0.503,1.0,1.3,0.723,0.7,2.6,3.3,1.7,0.3,0.1,0.9,1.8,6.0,Nemanja Bjelica,7150000
165,2020-21,31.0,MIA,NBA,SF,48.0,48.0,33.8,7.1,14.4,0.493,0.4,1.9,0.204,6.7,12.4,0.539,0.507,6.9,8.0,0.865,1.8,5.2,7.0,7.2,2.1,0.4,2.1,1.4,21.5,Jimmy Butler,34379100
166,2020-21,31.0,TOT,NBA,C,33.0,1.0,15.1,2.2,4.2,0.507,0.8,1.9,0.43799999999999994,1.3,2.3,0.5660000000000001,0.607,1.6,1.9,0.857,1.1,2.7,3.8,1.2,0.7,0.5,0.8,1.6,6.8,Gorgui Dieng,17587688
167,2020-21,31.0,TOT,NBA,C,33.0,1.0,15.1,2.2,4.2,0.507,0.8,1.9,0.43799999999999994,1.3,2.3,0.5660000000000001,0.607,1.6,1.9,0.857,1.1,2.7,3.8,1.2,0.7,0.5,0.8,1.6,6.8,Gorgui Dieng,17587688
168,2020-21,35.0,NYK,NBA,PF,39.0,3.0,20.6,2.1,3.4,0.619,0.1,0.4,0.2,2.1,3.1,0.672,0.631,0.8,1.2,0.6890000000000001,2.2,3.3,5.5,0.7,0.7,1.0,0.5,2.3,5.1,Taj Gibson,3283684
169,2020-21,35.0,NYK,NBA,PF,39.0,3.0,20.6,2.1,3.4,0.619,0.1,0.4,0.2,2.1,3.1,0.672,0.631,0.8,1.2,0.6890000000000001,2.2,3.3,5.5,0.7,0.7,1.0,0.5,2.3,5.1,Taj Gibson,3283684
170,2020-21,24.0,MEM,NBA,PG,63.0,8.0,17.9,2.7,6.1,0.435,0.7,2.1,0.318,2.0,4.0,0.496,0.49,0.6,0.7,0.902,0.3,1.7,2.0,3.8,0.9,0.1,0.7,0.5,6.6,Tyus Jones,7965100
171,2020-21,23.0,HOU,NBA,C,13.0,6.0,19.0,2.2,5.4,0.414,0.7,2.6,0.265,1.5,2.8,0.556,0.479,0.2,0.3,0.75,1.1,2.7,3.8,1.1,0.9,1.1,0.3,2.6,5.4,Justin Patton,893310
172,2020-21,32.0,TOT,NBA,PG,50.0,6.0,17.7,2.2,5.2,0.43,0.6,1.5,0.408,1.6,3.6,0.44,0.49,1.6,1.9,0.8490000000000001,0.3,1.4,1.7,2.4,0.6,0.2,1.1,1.1,6.6,Jeff Teague,3372826
173,2020-21,32.0,TOT,NBA,PG,50.0,6.0,17.7,2.2,5.2,0.43,0.6,1.5,0.408,1.6,3.6,0.44,0.49,1.6,1.9,0.8490000000000001,0.3,1.4,1.7,2.4,0.6,0.2,1.1,1.1,6.6,Jeff Teague,3372826
174,2020-21,25.0,MIN,NBA,C,44,44,34.0,8.5,17.5,0.48700000000000004,2.5,6.3,0.396,6.1,11.3,0.537,0.5579999999999999,5.2,6.0,0.8640000000000001,2.6,8.1,10.7,4.6,0.8,1.3,3.3,3.7,24.8,Karl-Anthony Towns,29430000
175,2020-21,25.0,GSW,NBA,PF,66.0,66.0,33.3,6.9,14.7,0.473,2.0,5.2,0.38299999999999995,4.9,9.4,0.523,0.541,2.5,3.5,0.715,1.1,3.7,4.8,2.3,1.0,1.0,1.8,2.2,18.3,Andrew Wiggins,29542010
176,2020-21,28.0,DAL,NBA,PG,55.0,1.0,14.8,2.5,5.7,0.444,1.0,2.6,0.37200000000000005,1.6,3.1,0.506,0.53,0.8,0.9,0.88,0.1,0.7,0.8,1.4,0.6,0.1,0.5,1.0,6.9,Trey Burke,3174603
177,2020-21,26.0,CLE,NBA,SG,41.0,6.0,19.1,2.5,6.2,0.39799999999999996,0.9,3.3,0.284,1.6,3.0,0.525,0.473,0.6,0.8,0.6759999999999999,0.1,1.9,2.0,2.0,0.4,0.1,0.9,1.0,6.5,Damyean Dotson,2000000
178,2020-21,28.0,POR,NBA,C,66.0,35.0,25.0,4.9,8.0,0.609,0.0,0.0,0.0,4.9,8.0,0.61,0.609,1.8,2.3,0.78,4.1,7.1,11.2,1.2,0.5,0.7,1.1,2.4,11.5,Enes Kanter,5005350
179,2020-21,25.0,TOT,NBA,"C,PF",26.0,0.0,9.9,1.2,2.8,0.43200000000000005,0.5,1.8,0.292,0.7,1.0,0.6920000000000001,0.527,0.1,0.2,0.5,0.4,1.5,1.9,0.7,0.1,0.8,0.2,0.5,3.1,Luke Kornet,2304878
180,2020-21,25.0,DAL,NBA,C,40,40,31.1,7.6,16.0,.473,2.2,6.1,.362,5.4,9.9,.542,.542,2.8,3.3,.850,1.9,7.1,9.1,1.6,0.5,1.4,1.3,2.7,20.2,Kristaps Porziņģis,29467800
181,2020-21,27.0,NOP,NBA,C,58.0,58.0,27.7,3.3,5.3,0.614,0.0,0.1,0.0,3.3,5.3,0.62,0.614,1.0,2.3,0.444,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6,Steven Adams,27528090
182,2020-21,36.0,POR,NBA,PF,65.0,3.0,24.6,4.8,11.4,0.423,1.9,4.7,0.406,2.9,6.7,0.436,0.507,2.0,2.3,0.887,0.5,2.7,3.2,1.5,0.7,0.6,0.9,2.1,13.7,Carmelo Anthony,2564753
183,2020-21,24.0,DEN,NBA,SG,50.0,6.0,21.8,3.0,7.1,0.41700000000000004,0.9,3.0,0.315,2.0,4.1,0.49,0.483,0.8,1.3,0.636,0.7,2.9,3.6,1.8,0.6,0.4,0.9,1.7,7.7,PJ Dozier,893310
184,2020-21,22.0,PHI,NBA,SG,13.0,0.0,3.8,0.1,0.5,0.14300000000000002,0.0,0.4,0.0,0.1,0.2,0.5,0.14300000000000002,0.0,0.0,0,0.0,0.1,0.1,0.2,0.1,0.0,0.3,0.5,0.2,Terrance Ferguson,3944013
185,2020-21,30.0,LAC,NBA,SF,50.0,50.0,33.6,8.3,17.7,0.47,3.2,7.6,0.418,5.2,10.1,0.509,0.56,3.8,4.3,0.87,0.8,5.8,6.6,5.2,1.2,0.5,3.3,2.4,23.6,Paul George,35450412
186,2020-21,26.0,DET,NBA,SF,53.0,53.0,34.1,7.5,17.4,0.428,2.2,6.1,0.354,5.3,11.3,0.469,0.491,5.4,6.4,0.8490000000000001,0.7,4.0,4.6,2.8,0.7,1.1,2.0,2.3,22.5,Jerami Grant,19047619
187,2020-21,31.0,LAC,NBA,PF,36.0,4.0,14.2,1.8,4.0,0.434,1.0,2.8,0.364,0.8,1.3,0.5870000000000001,0.5589999999999999,0.3,0.4,0.75,0.4,1.4,1.9,0.6,0.4,0.2,0.3,1.2,4.8,Patrick Patterson,3814768
188,2020-21,31.0,LAC,NBA,PF,36.0,4.0,14.2,1.8,4.0,0.434,1.0,2.8,0.364,0.8,1.3,0.5870000000000001,0.5589999999999999,0.3,0.4,0.75,0.4,1.4,1.9,0.6,0.4,0.2,0.3,1.2,4.8,Patrick Patterson,3814768
189,2020-21,32.0,WAS,NBA,PG,59.0,59.0,35.9,8.4,18.8,0.444,1.2,3.9,0.312,7.1,14.9,0.479,0.47700000000000004,4.0,6.2,0.64,1.7,9.6,11.3,11.3,1.4,0.4,4.9,2.8,21.9,Russell Westbrook,41358814
190,2020-21,33.0,TOT,NBA,PG,51.0,6.0,19.2,2.2,5.6,0.385,1.3,3.5,0.374,0.8,2.1,0.402,0.502,1.4,1.5,0.932,0.4,1.3,1.6,3.3,0.5,0.0,1.1,1.0,7.0,D.J. Augustin,6666667
191,2020-21,28.0,TOT,NBA,C,61.0,16.0,21.8,2.5,5.1,0.495,0.2,0.6,0.263,2.4,4.5,0.527,0.511,1.3,1.9,0.693,2.6,3.0,5.6,1.2,0.7,0.7,0.6,1.6,6.5,Khem Birch,3425463
192,2020-21,28.0,TOT,NBA,C,61.0,16.0,21.8,2.5,5.1,0.495,0.2,0.6,0.263,2.4,4.5,0.527,0.511,1.3,1.9,0.693,2.6,3.0,5.6,1.2,0.7,0.7,0.6,1.6,6.5,Khem Birch,3425463
193,2020-21,28.0,CHO,NBA,C,59.0,31.0,20.8,2.2,3.7,0.58,0.0,0.0,0.0,2.2,3.7,0.583,0.58,0.8,1.7,0.446,2.1,3.2,5.3,1.3,0.3,1.2,1.0,2.1,5.1,Bismack Biyombo,2331593
194,2020-21,28.0,TOT,NBA,"SF,SG",37.0,31.0,29.6,5.7,12.6,0.449,2.6,6.6,0.389,3.1,6.1,0.513,0.55,2.8,3.5,0.794,0.2,2.8,3.0,3.2,1.2,0.4,1.8,2.2,16.7,Evan Fournier,17000000
195,2020-21,25.0,TOT,NBA,PF,46.0,46.0,27.9,4.6,10.0,0.457,1.2,3.6,0.341,3.3,6.4,0.522,0.518,2.1,3.2,0.6509999999999999,1.5,4.3,5.8,3.3,0.6,0.7,2.1,1.9,12.5,Aaron Gordon,18136364
196,2020-21,26.0,TOT,NBA,SF,37.0,4.0,13.0,0.8,2.4,0.344,0.1,1.1,0.128,0.7,1.4,0.51,0.37200000000000005,0.6,0.8,0.828,0.3,1.8,2.1,0.4,0.4,0.1,0.5,1.2,2.5,Wesley Iwundu,1678854
197,2020-21,26.0,NYK,NBA,PG,57.0,57.0,24.5,4.6,10.5,0.44299999999999995,0.5,1.7,0.295,4.1,8.8,0.47100000000000003,0.466,1.3,1.8,0.6859999999999999,1.1,2.5,3.6,3.4,0.8,0.2,1.7,1.8,11.0,Elfrid Payton,5760000
198,2020-21,26.0,NYK,NBA,PG,57.0,57.0,24.5,4.6,10.5,0.44299999999999995,0.5,1.7,0.295,4.1,8.8,0.47100000000000003,0.466,1.3,1.8,0.6859999999999999,1.1,2.5,3.6,3.4,0.8,0.2,1.7,1.8,11.0,Elfrid Payton,5760000
199,2020-21,29.0,ORL,NBA,SG,46.0,2.0,29.3,5.5,13.4,0.41200000000000003,1.9,5.7,0.337,3.6,7.7,0.469,0.485,2.6,3.0,0.87,0.3,3.1,3.4,2.3,1.0,0.5,1.6,1.9,15.6,Terrence Ross,13500000
