,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SALARY,NAME
106,2019-20,25.0,TOT,NBA,C,29.0,0.0,8.8,1.2,2.3,0.522,0.1,0.4,0.33299999999999996,1.1,1.9,0.564,0.552,0.7,1.1,0.613,1.0,1.8,2.8,0.6,0.1,0.3,0.7,0.7,3.2,1620564,Jordan Bell
107,2019-20,27.0,TOR,NBA,C,62.0,0.0,13.2,2.3,4.8,0.47200000000000003,0.6,1.9,0.322,1.7,2.9,0.569,0.535,1.5,1.9,0.784,1.7,2.7,4.5,0.4,0.4,1.0,0.5,1.8,6.6,1588231,Chris Boucher
108,2019-20,26.0,LAL,NBA,PG,44.0,1.0,11.5,2.1,4.9,0.425,0.7,1.9,0.365,1.4,2.9,0.465,0.498,0.3,0.3,0.7859999999999999,0.3,0.9,1.2,1.1,0.3,0.0,0.8,0.6,5.1,3000000,Quinn Cook
109,2019-20,29.0,GSW,NBA,PF,43,43,28.4,2.9,7.3,0.389,0.8,3.0,0.27899999999999997,2.0,4.3,0.465,0.446,1.5,1.9,0.759,0.5,5.7,6.2,6.2,1.4,0.8,2.3,2.6,8.0,18539130,Draymond Green
110,2019-20,36.0,MIA,NBA,SF,21.0,0.0,19.9,1.8,4.2,0.43200000000000005,0.7,2.2,0.298,1.1,2.0,0.585,0.511,0.3,0.7,0.4,0.8,2.9,3.7,2.4,0.7,1.0,1.2,1.7,4.6,17185185,Andre Iguodala
111,2019-20,24.0,ATL,NBA,C,55.0,27.0,16.1,2.2,3.2,0.68,0.0,0.2,0.222,2.2,3.1,0.7040000000000001,0.685,1.1,1.5,0.738,1.3,2.4,3.7,0.6,0.5,0.7,0.5,2.7,5.6,2305057,Damian Jones
112,2019-20,23.0,GSW,NBA,C,20,4,13.1,1.5,4.0,0.36700000000000005,0.1,0.7,0.071,1.4,3.3,0.431,0.373,0.5,0.6,0.75,1.4,1.9,3.3,1.0,0.6,0.3,0.6,1.7,3.4,4464286,Kevon Looney
113,2019-20,24.0,TOR,NBA,SF,37.0,12.0,24.5,1.8,4.4,0.414,0.6,1.9,0.324,1.2,2.5,0.484,0.485,0.4,0.5,0.722,0.5,1.8,2.3,2.1,1.1,0.1,0.8,1.6,4.6,4000000,Patrick McCaw
114,2019-20,32.0,LAL,NBA,C,68.0,68.0,16.6,2.9,4.5,0.637,0.0,0.1,0.5,2.8,4.4,0.64,0.642,0.8,1.2,0.6459999999999999,1.8,3.9,5.7,0.5,0.5,1.4,0.8,2.3,6.6,4000000,JaVale McGee
115,2019-20,34.0,TOT,NBA,SF,53.0,21.0,28.2,2.7,6.1,0.43799999999999994,1.5,3.9,0.37200000000000005,1.2,2.2,0.556,0.557,1.2,1.4,0.838,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,8.0,12200000,Trevor Ariza
116,2019-20,31.0,HOU,NBA,SF,36.0,15.0,28.2,4.8,12.9,0.369,2.7,8.4,0.317,2.1,4.4,0.469,0.473,2.3,3.0,0.7659999999999999,0.3,1.7,2.0,1.5,0.6,0.4,1.2,1.9,14.4,14057730,Eric Gordon
117,2019-20,30.0,HOU,NBA,SG,68.0,68.0,36.5,9.9,22.3,0.444,4.4,12.4,0.355,5.5,9.9,0.556,0.5429999999999999,10.2,11.8,0.865,1.0,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3,38199000,James Harden
118,2019-20,34.0,OKC,NBA,PG,70.0,70.0,31.5,6.2,12.7,0.489,1.6,4.3,0.365,4.6,8.3,0.5539999999999999,0.552,3.6,4.0,0.907,0.4,4.6,5.0,6.7,1.6,0.2,2.3,2.3,17.6,38506482,Chris Paul
119,2019-20,34.0,HOU,NBA,PF,72,72,34.3,2.5,5.9,.415,1.5,4.2,.358,1.0,1.8,.551,.541,0.5,0.7,.813,1.6,5.1,6.6,1.6,1.1,0.5,1.0,3.2,6.9,8349039,P.J. Tucker
120,2019-20,30.0,UTA,NBA,SF,63,63,33.1,6.6,14.8,.447,3.0,7.3,.414,3.6,7.6,.479,.548,4.0,4.4,.903,0.6,3.5,4.1,2.1,0.5,0.1,2.5,1.7,20.2,17000000,Bojan Bogdanović
121,2019-20,28.0,SAC,NBA,PG,72.0,26.0,24.4,2.4,5.7,0.415,0.8,2.2,0.35200000000000004,1.6,3.5,0.455,0.483,0.8,1.0,0.857,0.6,2.0,2.6,3.5,0.7,0.3,1.1,1.8,6.4,12000000,Cory Joseph
122,2019-20,22.0,IND,NBA,PF,28.0,1.0,7.9,1.3,3.1,0.419,0.2,0.6,0.278,1.1,2.4,0.456,0.44799999999999995,0.3,0.6,0.43799999999999994,0.8,1.7,2.5,0.3,0.4,0.1,0.3,0.8,3.0,2813280,T.J. Leaf
123,2019-20,27.0,IND,NBA,SG,19.0,16.0,27.8,5.1,12.9,0.39399999999999996,1.7,5.5,0.317,3.4,7.5,0.451,0.461,2.5,3.1,0.8140000000000001,0.5,3.5,3.9,2.9,0.9,0.2,2.5,1.9,14.5,21000000,Victor Oladipo
124,2019-20,23.0,IND,NBA,PF,62.0,62.0,34.8,7.4,13.7,0.54,0.3,1.1,0.254,7.1,12.6,0.565,0.55,3.5,4.8,0.723,3.0,9.4,12.4,5.0,0.8,0.5,2.7,3.1,18.5,3529555,Domantas Sabonis
125,2019-20,24.0,IND,NBA,SG,31,3,14.4,2.0,4.6,0.43,0.5,1.7,0.264,1.5,2.9,0.528,0.479,0.5,0.9,0.552,0.4,1.1,1.5,1.8,0.5,0.3,0.7,1.4,4.9,2000000,Edmond Sumner
126,2019-20,23.0,IND,NBA,C,62,62,29.5,4.3,9.5,0.457,1.4,4.0,0.344,2.9,5.4,0.54,0.53,2.0,2.7,0.7509999999999999,1.4,5.2,6.6,1.2,0.7,2.1,1.4,2.7,12.1,18000000,Myles Turner
127,2019-20,31.0,CHI,NBA,PF,64.0,16.0,24.9,4.2,9.4,0.44799999999999995,1.2,3.5,0.35600000000000004,3.0,5.9,0.501,0.513,0.7,1.1,0.583,1.5,3.5,4.9,1.8,1.4,0.4,1.6,2.1,10.3,12900000,Thaddeus Young
128,2019-20,31.0,LAC,NBA,PG,51,50,26.3,2.9,6.7,.431,1.6,4.0,.388,1.3,2.6,.496,.548,0.6,0.9,.660,1.1,4.1,5.2,3.6,1.1,0.5,1.3,3.1,7.9,12345679,Patrick Beverley
